南北,4021
满五年,3775
近地铁,2076
南,2372
满二年,1870
车位充足,917
次新房,716
有电梯,653
带电梯,436
电梯房,427
临地铁,400
绿化率高,373
精装修,337
大两居,653
交通便利,312
南向采光好,307
正南朝向,305
多人关注,301
出行方便,295
刚需两居,285
交通便捷,282
房东直卖,281
中间楼层,271
近医院,271
户型方正,254
医疗配套成熟,237
房龄新,215
购物方便,206
楼龄新,204
热门小区,199
随时看房,196
商圈成熟,194
次新小区,192
商业配套成熟,190
商品住宅,190
小区新,189
装修好,182
高楼层视野无遮挡,181
商业配套齐全,178
楼层好,174
精装好房,174
急售,171
高楼层视野好,162
高楼层采光充足,159
中间好楼层,157
精装可拎包入住,156
商品房,147
采光好,138
产权清晰,137
唯一住房,135
中间楼层采光好,134
人气热搜,130
采光较好,124
刚需小三居,120
正规商品房,117
停车方便,113
房东急售,109
小三居,92
价格优惠,90
配套成熟,90
双卫,87
双卫格局,85
双卫生间,85
好楼层,85
集中供暖,85
杨村街,83
看房方便,83
价格可议,80
拎包入住,80
小三房,79
低密宜居,78
密度低,77
随时可看,76
超低密度,75
低密度社区,74
有钥匙,71
低容积,62
诚意出售,61
诚心出售,60
随时看,59
居住密度低,57
东,55
东南,53
带车位,52
总价低,52
配套齐全,50
新城悦隽央著,47
低楼层,46
位置好,44
东西,43
急卖,40
板楼,40
精装两室,40
业主急售,38
优势户型,38
VIP房东直卖,37
两室,37
业主诚意出售,36
精装,36
H户型,34
环境好,34
私产,34
西南,34
明厨明卫,33
价可谈,31
北,31
无遮挡,31
看房随时,31
十一中,30
新上小区,30
中楼层,29
生态城,29
盛世郦园,29
远洋新干线,29
电梯洋房,28
房主急售,27
枫丹天城,27
西北,27
高绿化,27
看房有钥匙,26
通透两室,26
钥匙房,26
全阳两室,25
可贷款,25
大两室,25
居家自住,25
中间层,24
动静分离,23
小区绿化高,23
税费低,23
经纬城市绿洲学知华庭,23
全明户型,22
得房好,22
采光充足,22
三室,21
可议,20
西,20
诚心卖,20
价格可谈,19
公摊小,19
精装三室,19
送车位,19
婚房装修,18
富力尚悦居,18
有车位,18
环境优美,18
3室2厅,17
保利,17
天穆,17
得房率高,17
雍鑫红星华府,17
2室1厅,16
东北,16
婚房,16
带装修,16
必看好房,16
无个税,16
经纬二期,16
通透户型,16
雍鑫金科集美雍阳,16
香雍玖和,16
2室2厅,15
出售,15
天辰世纪天和丽园,15
带地下室,15
新上,15
2室,14
一梯两户,14
业主诚心出售,14
二楼,14
南北向,14
双街镇,14
双阳户型,14
商务区,14
视野开阔,14
不临街,13
位置,13
好位置,13
宝翠花都探景园,13
小高层,13
带地下车位,13
意境兰庭,13
新上房源,13
正荣润璟湾,13
私产满五,13
秋瑞家园,13
通透H户型,13
高楼层,13
万科物业,12
