精装修,1233
配套齐全,1155
邻地铁,915
南北通透,457
有阳台,386
随时看房,344
电梯房,247
押一付一,224
拎包入住,219
1室1厅1卫,226
2室1厅1卫,201
整租,116
首次出租,79
可短租,68
家具家电齐全,59
家具家电齐全,59
可月付,42
有钥匙,39
家电齐全,36
急租,35
看房方便,33
精装两室,31
采光好,30
随时入住,29
精装一室,26
干净整洁,20
独卫,19
3室2厅2卫,18
价格可议,18
低楼层,18
近地铁,18
3室1厅1卫,16
3室2厅1卫,15
两室,15
交通便利,15
出租,15
可短租月付,15
家具齐全,15
房子干净,13
新出,13
随时看,13
家具家电齐全拎包入住,12
无中介费,12
独立阳台,12
包采暖,11
新上,11
精装三室,11
2室2厅,10
干净,10
首租,10
交通方便,9
必租好房,9
中间楼层,8
华江里,8
大直沽街,8
总医院,8
熙悦汇,8
看房有钥匙,8
蓝岸森林,8
设施齐全,8
三楼,7
业主急租,7
中信附近,7
全齐,7
包物业,7
南,7
可月付可短租,7
可短租可月付,7
宜兴阜,7
家电家具齐全,7
总医院300米西康路地铁300米,7
房子精装修,7
看房随时,7
碧春园,7
精装修两室,7
血液病医院800米,7
豪华装修,7
适合办公,7
3室1厅2卫,6
东升里(北辰),6
二号桥,6
可以短租,6
地铁2号线附近,6
城建大学,6
好房,6
家具家电全齐,6
张贵庄街,6
拎包住,6
接受短租,6
杭州道,6
理工大学,6
精装,6
精装修电梯房,6
芥园道街,6
金融街,6
随时看房有钥匙,6
霞光里(北辰),6
1室0厅1卫,5
2室,5
2室2厅2卫,5
2室精装,5
2楼,5
东北角艺术公寓,5
免中介费,5
南北,5
可押一付一,5
天塔街,5
姚村夜市,5
实拍,5
小海地,5
工业大学,5
拎包即住,5
月付,5
有钥匙随时看,5
煦园新居,5
独立单间,5
环境好,5
环球置地广场,5
生活便利,5
精装大一室,5
诚心出租,5
轻轨附近,5
过桥和平,5
金谊花园,5
靠近海光寺地铁站,5
1室1厅0卫,4
1室2厅1卫,4
1室精装修,4
2室1厅0卫,4
2室1厅2卫,4
一号桥,4
一楼,4
东西齐全,4
中交海河公馆,4
中北医院,4
二楼,4
五一阳光锦园,4
五大街永旺,4
价格可谈,4
公司托管房,4
出行方便,4
包物业费,4
包物业采暖,4
北辰红星国际广场(商住楼),4
华苑,4
南京路,4
双地铁,4
可月付短租,4
周边配套齐全,4
大津城,4
天津站附近临地铁,4
小区环境好,4
工农村,4
师范大学,4
性价比高,4
房源采光好,4
新房源,4
有钥匙随时看房,4
望海楼街,4
永旺梦乐城,4
河东万达,4
海泰产业园,4
空房,4
空房出租,4
荣业园,4
西青大悦汇,4
近地铁五六号线肿瘤医院地铁站,4
金水湾(武清),4
金融街中心,4
陪读季,4
随看随住,4
颐景公寓,4
1室0厅0卫,3
4.5.9号线,3
550月,3
万新街,3
万隆桃香园,3
三合里,3
三地铁,3
三春里,3
业主诚心出租,3
业主进店登记随时看房,3
