南开,万兴街,三潭东里,30.73,1室1厅1卫,精装修,南,无,民水,民电,有,集中供暖,季付,2800,2800,0,需咨询,"['近地铁', '精装', '集中供暖', '随时看房']"
西青,张家窝,海泰都市汇,45.15,1室0厅0卫,精装修,南,有,暂无数据,暂无数据,无,集中供暖,季付,1380,1380,0,需咨询,"['精装', '集中供暖', '非居住房屋']"
南开,万兴街,三潭东里,30.73,1室1厅1卫,精装修,南,无,民水,民电,有,集中供暖,季付,2800,2800,0,需咨询,"['近地铁', '精装', '集中供暖', '随时看房']"
河北,望海楼,金波里,50.70,1室1厅1卫,精装修,南,无,暂无数据,暂无数据,有,集中供暖,季付,1800,1800,0,需咨询,"['近地铁', '精装', '集中供暖', '随时看房']"
北辰,宜兴埠,荔红花园,8.28,3室1厅1卫,精装修,北,有,民水,民电,有,集中供暖,月付,903,903,90.3,0,"['公寓', '近地铁', '精装', '集中供暖', '押一付一', '随时看房']"
静海,团泊东,富力云景庭苑,115.00,3室1厅2卫,,南 北,无,暂无数据,暂无数据,有,集中供暖,季付,1200,1200,0,需咨询,"['集中供暖', '双卫生间', '随时看房']"
河东,太阳城,太阳城皓阳园,8.00,3室1厅1卫,精装修,北,有,民水,民电,有,集中供暖,月付,976,976,97.6,0,"['公寓', '精装', '集中供暖', '押一付一', '随时看房']"
静海,团泊东,富力云景庭苑,115.00,3室1厅2卫,,南 北,无,暂无数据,暂无数据,有,集中供暖,季付,1200,1200,0,需咨询,"['集中供暖', '双卫生间', '随时看房']"
北辰,宜兴埠,荔红花园,8.28,3室1厅1卫,精装修,北,有,民水,民电,有,集中供暖,月付,903,903,90.3,0,"['公寓', '近地铁', '精装', '集中供暖', '押一付一', '随时看房']"
武清,杨村,雅静园,86.00,2室1厅1卫,,南,有,民水,民电,有,集中供暖,季付,1200,1200,0,需咨询,['集中供暖']
西青,张家窝,海泰都市汇,45.15,1室0厅0卫,精装修,南,有,暂无数据,暂无数据,无,集中供暖,季付,1380,1380,0,需咨询,"['精装', '集中供暖', '非居住房屋']"
河北,望海楼,金波里,50.70,1室1厅1卫,精装修,南,无,暂无数据,暂无数据,有,集中供暖,季付,1800,1800,0,需咨询,"['近地铁', '精装', '集中供暖', '随时看房']"
静海,团泊东,富力云景庭苑,115.00,3室1厅2卫,,南 北,无,暂无数据,暂无数据,有,集中供暖,季付,1200,1200,0,需咨询,"['集中供暖', '双卫生间', '随时看房']"
东丽,空港经济区,锦润华庭,8.20,4室1厅1卫,精装修,北,有,民水,民电,有,集中供暖,月付,1039,1039,103.9,0,"['公寓', '精装', '集中供暖', '押一付一']"
东丽,空港经济区,锦润华庭,8.20,4室1厅1卫,精装修,北,有,民水,民电,有,集中供暖,月付,1039,1039,103.9,0,"['公寓', '精装', '集中供暖', '押一付一']"
静海,团泊东,富力云景庭苑,115.00,3室1厅2卫,,南 北,无,暂无数据,暂无数据,有,集中供暖,季付,1200,1200,0,需咨询,"['集中供暖', '双卫生间', '随时看房']"
南开,万兴街,三潭东里,30.73,1室1厅1卫,精装修,南,无,民水,民电,有,集中供暖,季付,2800,2800,0,需咨询,"['近地铁', '精装', '集中供暖', '随时看房']"
河东,富民路,郑庄子大街,50.00,2室1厅1卫,,东,无,暂无数据,暂无数据,有,集中供暖,季付,1600,1600,0,需咨询,['集中供暖']
武清,杨村,雅静园,86.00,2室1厅1卫,,南,有,民水,民电,有,集中供暖,季付,1200,1200,0,需咨询,['集中供暖']
河东,富民路,郑庄子大街,50.00,2室1厅1卫,,东,无,暂无数据,暂无数据,有,集中供暖,季付,1600,1600,0,需咨询,['集中供暖']
河东,太阳城,太阳城皓阳园,8.00,3室1厅1卫,精装修,北,有,民水,民电,有,集中供暖,月付,976,976,97.6,0,"['公寓', '精装', '集中供暖', '押一付一', '随时看房']"
河东,富民路,郑庄子大街,50.00,2室1厅1卫,,东,无,暂无数据,暂无数据,有,集中供暖,季付,1600,1600,0,需咨询,['集中供暖']
北辰,宜兴埠,荔红花园,8.28,3室1厅1卫,精装修,北,有,民水,民电,有,集中供暖,月付,903,903,90.3,0,"['公寓', '近地铁', '精装', '集中供暖', '押一付一', '随时看房']"
