待售房屋,室,厅,卫,面积,面积单位,朝向,楼层,建筑年份,小区名称,区,镇,道路,标签,总价,总价单位,均价,均价单位
紫泉庭苑 次新房 满二 精装修 有电梯 朝南 刚需两居,2室,1厅,1卫,89.45,㎡,南,低层(共14层),2019年建造,紫泉庭苑,武清,杨村街,上善大街57号,"南,满二年,次新房,",138,万,15428,元/㎡
正荣新上 通透H户型 明厨明卫 电梯6楼 不临街 随时看房,2室,1厅,1卫,85,㎡,南北,低层(共26层),2015年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南北,热门小区,新上小区,优势户型,",135,万,15883,元/㎡
正荣润璟湾 通透两室 中间楼层 位置好,2室,2厅,1卫,81.16,㎡,南,中层(共26层),2016年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南,热门小区,配套成熟,随时可看,",129,万,15895,元/㎡
南北通透 主卧套房 大户型 低总价 融创宸阅和鸣 来电价格可议,2室,2厅,1卫,79,㎡,南北,,,融创宸阅和鸣(新房),北辰,天穆,朝阳路与顺义道交口（中环线以北1200米），西至新峰路，东至德辰路（规划路）,"南北通透,厨卫全明,动静分离,高绿化率,",135,万,17089,元/㎡
南向采光好 交通便捷 医疗配套成熟 满五 电梯房,2室,2厅,1卫,90,㎡,南,低层(共17层),2017年建造,紫泉庭苑,武清,杨村街,上善大街57号,"南,满五年,采光较好,",138,万,15334,元/㎡
荔城公馆 小区新 商业配套齐全 有电梯 刚需两居 满五  ,2室,2厅,1卫,86.18,㎡,南,高层(共22层),2015年建造,荔城公馆,武清,杨村街,前进道,"南,满五年,",122,万,14157,元/㎡
满五   精装可拎包入住 购物方便 正南朝向 大两居,2室,2厅,1卫,94.28,㎡,南,低层(共22层),2013年建造,盛世郦园,武清,杨村街,"振华西道,近泉达路","南,满五年,",148,万,15698,元/㎡
南北通透 户型方正 大户型 低总价 泽信·云樾天著 考虑可私聊,3室,2厅,1卫,86,㎡,南北,,,泽信·云樾天著,东丽,华明镇,津汉公路北侧弘顺道与永和路交汇处,"南北通透,厨卫全明,客餐厅相连,低容积,",129,万,15000,元/㎡
正荣2期 毛坯2室适合婚房 厨卫全明设计 中间层 次新小区,2室,1厅,1卫,81.48,㎡,南北,中层(共27层),2015年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南北,满五年,绿化率高,",120,万,14728,元/㎡
晟卉花园 正规商品房 精装修 满五 中间好楼层 南北通透,3室,2厅,2卫,127,㎡,南北,共4层,2008年建造,晟卉花园,塘沽,西大沽街,"迎宾大道,近天津大道","近地铁,南北通透,公摊小,",126,万,9922,元/㎡
正荣2期新上2室 明厨明卫 电梯中间层  次新小区楼龄新,2室,2厅,1卫,82.25,㎡,南,低层(共25层),2015年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南,满五年,绿化率高,",120,万,14590,元/㎡
新城悦隽央著 停车方便 大两居 精装修 满二 有电梯,2室,2厅,1卫,87.8,㎡,南北,低层(共6层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",134,万,15262,元/㎡
南北通透 客餐厅相连 大户型 改善置业 万科·翡翠大道 欢迎咨询,3室,2厅,1卫,89,㎡,南北,,,万科·翡翠大道,西青,张家窝,宾水西道延长线南，地铁三号线杨伍庄站旁,"轨交房,高绿化率,",136,万,15281,元/㎡
